x,y,z, 
-1.1997986,3.49794,9.247894, 
-0.65870667,3.5937042,9.15213, 
-0.41448975,3.205841,9.84166, 
0.33250427,3.1292267,9.3628235, 
0.25109863,3.3590698,8.433868, 
0.15533447,3.4213257,7.859253, 
0.28941345,3.5027313,8.4817505, 
0.37080383,3.7182007,8.41951, 
0.55278015,3.6511688,8.567947, 
0.4426422,3.746933,7.969391, 
0.45220947,3.881012,7.653366, 
0.4474182,3.8762207,7.6198425, 
1.0316162,3.857071,8.883987, 
1.0220337,3.9863586,8.697235, 
0.5096741,3.9672089,8.266281, 
0.42826843,3.7852478,9.429855, 
0.24630737,3.8618622,8.678085, 
0.20321655,4.0917053,7.787445, 
-0.2708435,3.9911346,8.802582, 
-0.419281,3.9672089,10.545563, 
-0.2708435,3.7134247,11.239868, 
-0.031417847,2.5258942,12.791321, 
-0.39533997,2.2050629,8.376404, 
-0.8598175,2.4971619,7.2607117, 
-0.40490723,2.4923706,8.529648, 
-0.94599915,2.6982727,7.94545, 
-1.2045746,2.9616394,7.409149, 
-0.86938477,3.5027313,7.706024, 
-0.28042603,4.0294495,8.6397705, 
0.08830261,4.1252136,9.334091, 
0.11701965,4.1730957,9.674072, 
0.47616577,3.5793457,10.176849, 
-0.20858765,2.0614166,11.733078, 
0.17927551,2.6072998,8.314163, 
-0.3187256,2.454071,8.352478, 
-0.67785645,2.6072998,8.074738, 
-0.6682739,2.9568481,7.045227, 
0.07392883,3.7038422,7.59111, 
0.30856323,4.398163,7.7156067, 
-0.54377747,4.4651947,9.463379, 
-1.0848694,4.6806793,9.439438, 
-0.6156006,2.861084,12.934967, 
-1.4679413,1.9752197,8.874405, 
-0.5964508,2.521103,8.888763, 
0.70599365,3.0047302,8.347687, 
0.4761505,3.6224365,7.299011, 
0.51446533,4.1204376,7.514496, 
-0.093673706,3.9193115,8.017288, 
-0.22296143,4.292816,8.295013, 
-0.2995758,4.541809,9.291, 
0.75387573,4.747711,10.507248, 
0.19363403,3.33992,11.608582, 
0.4139099,3.3351288,7.9789734, 
0.169693,3.292038,7.059601, 
0.3851776,3.3590698,6.9111633, 
-0.7736206,3.4596252,7.179306, 
-0.08409119,3.952835,7.356476, 
-0.127182,4.541809,7.538437, 
0.06434631,4.6615143,10.526398, 
-0.38575745,5.2217712,9.367615, 
-1.0561371,3.5266724,12.867935, 
-0.9076996,2.9807892,8.998901, 
-0.5485687,2.952057,7.76828, 
-0.3043518,2.6647644,7.3038177, 
-0.65870667,3.0143127,7.2559204, 
-0.4767456,3.7086334,6.743561, 
-0.27563477,4.3263245,7.902359, 
0.42349243,4.7333374,9.156921, 
0.12181091,4.7381287,10.181641, 
0.892746,3.5937042,11.962921, 
0.06434631,2.4492798,9.875183, 
0.43785095,2.9424896,7.1266327, 
0.3851776,2.5737762,8.678085, 
0.14097595,2.9424896,6.7100525, 
-0.1846466,3.2345734,6.8632812, 
-0.026626587,3.6799011,8.314163, 
0.27503967,4.4843445,9.798569, 
0.06913757,4.6902466,10.90947, 
0.4330597,4.24971,10.722733, 
-0.7305298,2.3152008,12.566269, 
0.2654724,2.5354614,7.4809723, 
0.6293793,2.5354767,7.7970123, 
0.66290283,2.750946,7.1840973, 
0.20800781,3.2154236,6.446686, 
0.3133545,3.6846924,7.203247, 
-0.069732666,4.40773,8.299789, 
0.55278015,4.7093964,10.401901, 
0.27503967,4.7860107,9.281418, 
0.74909973,3.4787903,10.689209, 
-0.32351685,2.6216583,10.119385, 
0.6964264,3.201065,7.5480194, 
0.3564453,2.971222,8.055588, 
0.054779053,3.2202148,7.500122, 
0.48094177,3.3782196,8.429092, 
0.13618469,4.019867,8.304581, 
0.758667,4.5801086,8.960602, 
-0.3905487,4.359848,10.464157, 
-0.582077,3.818756,9.980515, 
-1.2045746,2.7174377,10.1098175, 
-0.9220581,2.5258942,8.304581, 
-0.026626587,2.7700958,7.6677246, 
-0.2708435,3.1723328,6.7770844, 
-0.7736206,3.5266724,7.136215, 
-0.40013123,4.1443634,8.347687, 
-0.16070557,4.469986,8.687653, 
-0.25646973,4.086914,10.986084, 
0.4043274,4.09169,9.726746, 
0.61502075,2.975998,11.2686, 
-0.19422913,2.5306854,9.094666, 
0.09786987,3.019104,7.404358, 
0.169693,2.8467102,8.093903, 
-0.5389862,2.8754425,7.782654, 
-0.069732666,3.2824554,7.538437, 
-0.021850586,3.7086334,7.998123, 
0.045196533,4.431671,7.974182, 
0.2558899,4.3406982,10.018829, 
-0.6395416,4.216202,10.310928, 
-0.74967957,3.2776794,10.990875, 
-0.9603729,2.047058,10.4066925, 
-0.36660767,2.6934814,7.361267, 
0.4426422,2.5067444,8.749908, 
0.16012573,2.6839142,8.002914, 
-0.5820923,2.9233246,7.5240784, 
-0.2133789,3.6799011,7.835327, 
-0.045791626,4.316757,8.041214, 
0.16012573,4.0342407,11.091431, 
0.06436157,3.995926,10.066711, 
0.57670593,3.0813446,10.373184, 
-0.55815125,2.0470428,10.51683, 
-0.026626587,2.7461548,7.4187317, 
0.43785095,2.8227692,8.429092, 
0.45220947,2.8706512,7.864044, 
0.09307861,2.8754425,7.7299805, 
0.43785095,3.2872467,7.8496857, 
0.54319763,4.019867,7.8927765, 
0.5671387,4.220993,9.765045, 
-0.08409119,3.9480438,11.139313, 
-0.577301,2.9664307,11.44577, 
-0.95558167,2.0757904,9.726746, 
-0.18943787,2.6264496,7.782654, 
0.60066223,2.4013977,8.850464, 
0.30856323,2.612091,7.758713, 
0.12181091,2.9903717,7.222397, 
0.42349243,3.699051,7.543228, 
0.1984253,4.3215485,8.218399, 
-0.26605225,3.9193115,10.258255, 
-0.060150146,3.8474884,9.453796, 
0.61502075,2.9233246,11.057922, 
0.24153137,1.9081879,10.928635, 
0.3708191,2.363083,8.041229, 
0.31814575,2.3726654,9.396347, 
0.07392883,2.4492798,8.409927, 
-0.09844971,2.750946,7.887985, 
0.6964264,3.2106323,8.333313, 
0.3851776,3.4883575,8.347687, 
0.10266113,3.588913,8.855255, 
-0.3761902,3.0909271,10.301346, 
-0.58688354,2.6455994,10.579086, 
-0.57250977,1.8986053,10.583862, 
-0.050582886,1.9704285,9.449005, 
-0.026626587,1.4724426,9.741104, 
0.07872009,1.7884827,8.295013, 
-0.098464966,2.0805664,8.678085, 
0.049987793,2.252945,9.477753, 
-0.23252869,2.2864685,9.372391, 
-0.17028809,2.4828033,9.08989, 
-0.10324097,2.4253387,9.358032, 
-0.14634705,2.4205475,9.013275, 
-0.28520203,2.5977173,9.027634, 
-0.19422913,2.659958,8.960602, 
0.169693,2.592926,9.334091, 
0.14575195,2.5546265,9.516052, 
0.1984253,2.540268,9.472961, 
0.15054321,2.4732208,9.238327, 
0.15054321,2.4205475,9.209595, 
0.14575195,2.4684296,9.343674, 
-0.15112305,2.4253387,9.377182, 
-0.098464966,2.434906,9.50647, 
-0.026626587,2.4923706,9.3628235, 
-0.127182,2.5306854,9.166504, 
-0.127182,2.4875793,9.128189, 
