x,y,z,
0.37080383,3.9576263,9.013275, 
0.15054321,3.9145355,7.4809723, 
-0.18943787,4.2784424,8.256699, 
0.3133545,4.153946,8.012497, 
0.46658325,4.1443787,7.8018036, 
0.3851776,3.9193115,7.950241, 
0.27983093,4.1156464,7.5001373, 
0.4043274,4.7285614,8.43866, 
0.84007263,5.063736,8.089111, 
0.55755615,4.9536133,7.9837646, 
0.6772766,4.7860107,7.725189, 
0.40911865,4.6854553,7.6389923, 
0.12181091,4.9105225,7.3756256, 
0.23674011,5.355835,7.854477, 
-0.10324097,5.7580566,8.524857, 
-0.2708435,6.016632,8.807358, 
-0.79756165,5.609619,11.326065, 
-0.8310852,3.8666382,11.666046, 
-0.20858765,2.478012,9.578308, 
-0.6395416,2.387024,7.806595, 
-0.24690247,2.9472656,5.345352, 
0.06436157,3.4596405,5.7810974, 
-0.069732666,3.818756,7.6916656, 
-1.1327515,4.695038,6.7387695, 
-0.88375854,5.5952606,8.213608, 
-0.19902039,5.9974823,8.869614, 
0.10266113,5.3702087,10.861588, 
1.0172424,4.0102997,12.41304, 
1.6349487,2.8993835,9.286209, 
0.3708191,2.5402527,8.520065, 
-0.62039185,2.7317963,5.4459076, 
-0.20858765,3.1196594,5.0580444, 
-0.10324097,3.8235474,6.9590454, 
0.35165405,5.1355743,8.515274, 
0.41870117,5.9735413,9.3293, 
-0.6539154,6.0884705,9.990097, 
-1.0944519,4.3071747,12.685974, 
-1.5637054,2.908966,8.716385, 
-1.0465546,2.5163116,9.597458, 
0.41870117,2.9424896,6.38443, 
0.98851013,3.1866913,4.6893463, 
0.24153137,3.6032867,5.8960114, 
-0.7927704,4.805176,7.9310913, 
-0.2421112,5.7819977,8.28064, 
-0.577301,5.8681946,9.353241, 
0.2942047,4.9584045,12.753006, 
0.91189575,3.5841217,11.019608, 
1.0172424,3.1244507,8.759476, 
-0.2133789,3.1531677,6.159378, 
-0.45758057,3.157959,5.6709595, 
-0.45758057,3.49794,6.2647247, 
-0.036209106,4.651947,7.9071503, 
-0.012268066,5.5713196,8.256699, 
-0.56292725,6.1315613,9.990097, 
-1.8510132,5.4132996,10.416275, 
-1.4775238,3.7517242,10.411484, 
-1.1566925,2.6216583,9.712372, 
0.3851776,2.8323517,6.566391, 
0.5048828,3.3255615,5.3022614, 
0.36601257,3.818756,6.518509, 
-0.55336,4.9392395,7.43309, 
-0.6060333,5.9065094,8.81694, 
-1.0274048,6.2656403,9.2287445, 
1.0363922,5.03981,11.747452, 
1.3907471,3.6894684,10.55513, 
0.73472595,3.0526123,8.951019, 
-0.20858765,2.999939,5.8050385, 
0.13618469,3.157959,5.043686, 
0.045196533,3.8762207,7.112274, 
0.24153137,5.1690826,7.4187317, 
0.08351135,6.0405884,8.443451, 
-0.5246277,6.4476013,9.731537, 
-1.0561371,5.1834564,11.493652, 
-1.707367,3.7565155,9.013275, 
-1.6690521,2.9281158,10.272629, 
0.12181091,3.292038,6.317398, 
1.5200348,3.6511688,4.842575, 
0.86880493,3.9241028,5.867279, 
-0.28041077,4.991913,7.3708496, 
-0.3905487,5.925659,7.864044, 
-0.4767456,6.102829,9.061157, 
0.67726135,5.1451416,11.848007, 
1.4577789,4.153946,9.970947, 
0.9933014,3.33992,9.252686, 
-0.54377747,3.402176,6.7818756, 
-0.26605225,3.6703186,5.9391174, 
0.23194885,4.1204224,7.1505737, 
0.7969818,4.886566,6.925522, 
0.36123657,5.4085083,8.486542, 
-0.041000366,6.0884705,8.127411, 
0.08351135,5.9160767,9.142548, 
-0.31393433,4.3885803,10.061935, 
-0.17506409,3.430893,9.358032, 
1.1273804,3.2633057,8.778641, 
1.7929688,3.7182007,7.265503, 
2.0132294,3.521881,7.696457, 
1.3907471,3.292038,8.630188, 
0.4713745,3.3255615,8.429077, 
0.13618469,3.1196594,9.6596985, 
-0.25167847,3.33992,8.457809, 
0.5192566,3.3686523,9.583084, 
0.09309387,3.9480438,8.563156, 
0.41870117,4.039032,8.788208, 
0.45700073,4.2066193,6.863266, 
-0.064941406,4.355072,7.9598236, 
-1.0705109,4.6040497,7.8496857, 
-1.1136017,4.8961487,8.170517, 
-0.577301,5.336685,7.241562, 
-0.38575745,6.031006,8.189667, 
-0.79756165,6.370987,8.692444, 
-0.8885498,5.738907,9.516052, 
-1.0417786,4.2832336,9.846451, 
-1.2524567,3.1531677,9.96138, 
-1.8079224,2.7653198,8.520065, 
-0.7832031,2.952057,7.7395477, 
-0.041000366,3.3925934,5.752365, 
-0.23731995,3.6224365,6.336548, 
-0.9172821,4.1156464,7.4809875, 
-0.68743896,5.1116333,7.5815277, 
-0.3187256,5.5665283,9.008484, 
