x,y,z,
-1.1040192,3.3925934,8.807373, 
-0.064941406,3.3542786,8.031647, 
-0.14155579,3.473999,9.3293, 
0.21759033,3.6272278,8.505692, 
0.30856323,3.450058,8.941437, 
0.4139099,3.4452667,9.3628235, 
0.7107849,3.5984955,8.6397705, 
0.73472595,3.363861,7.9789734, 
0.8783722,3.426117,8.156143, 
0.96936035,3.9241028,7.878418, 
0.7107849,4.4604034,7.3277435, 
0.026046753,4.72377,8.275848, 
-0.13676453,5.312744,8.9318695, 
-0.2995758,5.628784,9.894333, 
-0.6970062,5.5186462,10.334869, 
-1.8797455,4.1156464,11.421829, 
-2.2915497,2.4971619,10.195999, 
-1.918045,1.869873,7.3708496, 
-0.7592621,1.9033966,6.949463, 
0.15533447,2.4923706,5.7810974, 
-0.20858765,3.0526123,6.85849, 
-0.17028809,3.9480438,8.189667, 
-0.27563477,4.905731,9.219177, 
-0.66348267,5.1403656,10.215164, 
0.14575195,4.082123,11.555908, 
0.7873993,2.482788,11.421829, 
0.99809265,1.8171997,9.602249, 
-0.4958954,2.0326843,7.8927765, 
-0.50068665,2.655182,5.5368805, 
-0.07929993,2.9281158,6.4802094, 
0.24151611,3.722992,8.567947, 
-0.17506409,4.8243256,9.037216, 
-0.4767456,5.193039,9.698013, 
-1.8510132,4.699829,9.913483, 
-2.2628174,2.8036194,11.613373, 
-1.7743988,1.980011,9.832092, 
-0.11282349,1.8028412,9.2287445, 
0.54319763,2.545044,5.4219666, 
0.51446533,2.837143,6.547241, 
-0.6970062,4.110855,7.5719604, 
-0.7879791,5.0876923,8.678085, 
-0.9364319,5.312744,9.516052, 
0.45220947,4.5226593,11.182419, 
1.2710266,3.02388,11.508026, 
1.4769287,2.5833588,9.334091, 
-0.017059326,2.047058,8.175293, 
-0.46237183,2.5115204,4.9479065, 
-0.38575745,2.932907,4.234436, 
-0.14155579,4.182678,7.404373, 
-0.5629425,5.3845673,11.057922, 
-0.4384308,6.715744,12.638092, 
-1.0848694,4.158737,13.562256, 
-1.6977844,2.252945,9.291, 
-0.6395416,1.4437103,9.080307, 
0.27983093,2.4923706,4.9048157, 
0.55278015,3.0526123,4.2871094, 
-0.19422913,3.612854,8.165726, 
-0.060150146,5.193039,7.2607117, 
-0.66348267,5.714966,9.774628, 
0.7682495,5.284012,11.359589, 
0.6485443,3.7900238,10.981308, 
-0.31393433,2.7700958,8.989334, 
-0.24690247,1.95607,7.878418, 
-0.2899933,2.655182,5.4219666, 
-0.577301,3.2968292,5.072418, 
-0.2899933,4.6423645,7.1457825, 
0.2702484,5.4324493,10.7323, 
-0.3809662,6.011856,12.001236, 
-1.8126984,4.1970367,11.235092, 
-1.7696075,1.6256714,10.037979, 
-1.8462219,2.1715546,8.874405, 
0.14097595,2.8419342,7.648575, 
0.49531555,3.0717773,4.2440186, 
0.12181091,2.592926,6.0061493, 
-0.8789673,3.9719849,7.5288696, 
-1.118393,5.63356,10.100235, 
-0.419281,5.044586,12.743439, 
-0.4815216,4.1252136,13.251007, 
0.36602783,2.5067444,9.061157, 
0.6964264,1.1659851,9.008484, 
0.5479889,1.5107574,7.251129, 
-0.2421112,2.5546265,4.1338806, 
0.23194885,3.4452667,5.211273, 
-0.050567627,4.3933716,7.514496, 
-0.2421112,4.5992737,10.205582, 
-1.5828705,4.216202,12.436981, 
-2.1095886,2.2577362,13.116928, 
-2.70813,1.8890381,10.124176, 
0.002105713,1.1851349,10.569504, 
0.55755615,1.9416962,7.03566, 
0.7443085,2.1811218,4.3828735, 
0.27026367,2.568985,6.9686127, 
-0.021835327,3.746933,8.385986, 
-0.55815125,4.015091,13.188751, 
-0.1846466,3.9145203,13.246216, 
1.2518768,1.7597351,12.073059, 
0.86880493,1.0558472,9.353241, 
-0.17028809,1.4437103,7.739563, 
-0.9220581,2.2625275,4.5552673, 
-0.62997437,2.5402527,5.747574, 
0.08830261,3.7373505,8.390778, 
-0.5102539,4.4987183,9.860809, 
-1.6499023,4.8195343,11.871948, 
-1.7265167,2.952057,11.819275, 
-2.2436523,1.6735535,9.472961, 
-0.6874237,1.3144226,9.630966, 
0.30377197,2.1092987,6.499359, 
0.7730408,2.4061737,5.910385, 
0.054779053,2.6695404,7.7395477, 
-0.716156,3.904953,8.644562, 
-0.91249084,4.5466003,9.851242, 
-0.9795227,4.3311157,11.412262, 
0.06913757,2.276886,12.638092, 
0.619812,1.7501678,9.223953, 
0.2702484,1.5203247,10.272614, 
-0.6539154,2.4396973,6.3030396, 
-0.77841187,2.6264496,6.178528, 
-0.17506409,2.8467102,8.290222, 
0.5336151,3.7373505,9.046783, 
-0.060150146,4.2784424,9.238327, 
-0.041000366,4.857849,11.139313, 
-0.8598175,3.7134247,10.473724, 
-1.6115875,2.0566254,9.587875, 
-0.62997437,1.5921478,9.3628235, 
0.38996887,2.343933,7.466614, 
0.58628845,2.7844696,6.8919983, 
-0.012268066,2.9855804,7.94545, 
-0.6730652,3.426117,8.448242, 
-1.0752869,4.2545013,8.060379, 
-1.4583588,4.288025,9.396347, 
-1.0178375,4.4125214,10.105026, 
-0.28041077,2.9903717,11.335648, 
-1.0992279,2.4588623,9.195221, 
-1.5541382,1.4006195,10.4066925, 
-2.2723846,1.7358093,8.26149, 
-1.9563599,1.7884827,8.098679, 
-1.0705109,1.4437103,9.741104, 
-0.8598175,1.5586395,9.559143, 
-0.5868683,1.5921478,10.124176, 
-0.49110413,1.6112976,9.511261, 
-0.2899933,1.3431549,10.856812, 
-0.3187256,1.5299072,8.998901, 
-0.6156006,1.0797882,9.760269, 
-1.1806335,1.7836914,9.271835, 
-1.1519012,2.387024,9.166504, 
-1.8127136,2.2577362,9.899124, 
