x,y,z, 
-0.3570404,2.521103,6.710037, 
0.4426422,2.3152008,11.019608, 
0.5048828,2.9712067,8.81694, 
0.7107849,3.019104,9.286209, 
0.2702484,2.8993988,8.998901, 
0.28941345,2.9376984,8.946228, 
0.40911865,2.813202,8.994125, 
0.27503967,2.9137573,8.725967, 
0.17448425,2.9712067,8.927078, 
0.10745239,3.019104,9.027634, 
-0.0074768066,2.9616394,8.979752, 
0.14097595,2.9903717,9.195236, 
0.21757507,3.0047302,8.99411, 
0.13618469,2.9712067,8.879196, 
0.026046753,2.9472656,9.018051, 
-0.08888245,3.0238953,8.826523, 
-0.09844971,2.999939,9.271851, 
0.09786987,3.134018,9.003693, 
-0.060150146,2.9951477,9.3628235, 
-0.2133789,2.9664307,8.802582, 
-0.22296143,2.8993835,9.123398, 
-0.19902039,2.999939,8.788223, 
-0.0074768066,3.0621948,8.922287, 
0.19363403,3.134018,9.243118, 
0.15054321,3.315979,8.989334, 
0.011672974,3.1627502,8.898346, 
-0.08409119,2.8227692,9.358032, 
-0.045791626,2.8419342,9.027634, 
0.27983093,2.7892609,8.7738495, 
0.21759033,2.813202,9.018051, 
0.049987793,2.9281158,9.003693, 
0.11703491,3.0813446,9.056366, 
0.12181091,3.201065,8.515274, 
0.2271576,3.1388092,9.099457, 
0.10745239,3.1866913,8.563156, 
0.002105713,3.1866913,9.348465, 
0.327713,3.2585144,8.591888, 
0.62939453,3.1436005,8.663712, 
0.619812,3.3111877,9.17128, 
0.27983093,3.65596,8.692444, 
0.17927551,3.6607513,8.7547, 
0.5623474,3.4404755,8.429092, 
0.7107849,3.5506134,8.553589, 
0.42347717,3.818756,8.620621, 
0.08351135,3.9432678,9.075516, 
0.059570312,4.0725555,9.501694, 
0.016464233,4.0102997,9.195221, 
0.3564453,3.2202148,10.124176, 
-0.6156006,2.6312408,10.761032, 
-1.7743988,2.2625275,9.444229, 
-1.6499023,1.821991,8.879196, 
-0.23731995,1.8555145,8.697235, 
0.049987793,2.4013977,7.2559204, 
-0.28520203,2.841919,7.8927765, 
-0.8598175,3.3686523,8.443451, 
-0.91726685,4.0485992,8.491333, 
-0.2421112,4.3933716,8.467392, 
-0.3618164,4.3502655,9.410706, 
-0.70658875,3.5793457,10.440216, 
0.20800781,2.1667633,13.179184, 
1.3093414,1.5059662,10.095444, 
0.6964264,1.3096313,8.989319, 
-0.08409119,2.1667633,6.5520325, 
0.27503967,2.5498352,6.772293, 
0.040405273,2.7365875,8.256699, 
0.07392883,3.315979,8.59668, 
0.040420532,3.9384766,9.013275, 
-0.6539154,4.2066193,9.9517975, 
-1.707367,4.216202,9.5256195, 
-1.7600403,2.3104095,12.379517, 
-1.9371948,1.7836914,10.195999, 
-0.41448975,1.8076324,8.654129, 
0.4761505,2.4923859,6.3030396, 
0.41870117,2.679123,7.2607117, 
-0.19422913,2.7844696,8.338104, 
-0.94122314,3.612854,7.8496857, 
-0.38098145,4.580124,8.7547, 
-0.35224915,4.7141876,9.31015, 
-0.050567627,4.1395874,10.334869, 
0.69163513,2.4253387,12.8966675, 
0.84007263,1.5586395,9.496902, 
0.30377197,1.6735535,9.17128, 
-0.39533997,2.679123,6.1067047, 
-0.49110413,2.8802338,6.743561, 
-0.10803223,2.9041748,8.711594, 
0.19363403,3.6799011,8.788208, 
0.5910797,4.402939,8.476959, 
-0.2995758,4.513077,9.779419, 
-1.6068115,4.589691,9.865601, 
-1.4248505,3.1244507,11.785751, 
-1.3817444,1.9895935,9.223953, 
-0.6156006,1.6783447,9.022842, 
0.4139099,2.4492798,6.9829865, 
0.93585205,3.110077,6.8297577, 
0.8161316,3.3303528,7.648575, 
-0.5054779,3.904953,7.950241, 
-0.23252869,4.699829,8.328522, 
0.026046753,4.632782,9.736313, 
0.06434631,4.1395874,10.267822, 
0.8352814,2.727005,12.326843, 
0.88797,2.0087433,9.688431, 
-0.6251831,1.9081879,9.319717, 
-0.72094727,2.6503906,6.0588226, 
-0.31393433,2.7988281,6.2647247, 
-0.17028809,3.0286713,8.24234, 
0.21279907,3.904953,7.950241, 
0.08351135,4.5513916,8.922287, 
-0.5389862,4.771652,10.804123, 
-1.5445557,4.422104,11.22551, 
-1.1950073,2.3822327,12.278961, 
-1.3482361,1.5203247,9.046783, 
-0.28041077,1.8171997,7.9310913, 
0.7730408,2.4971619,5.527313, 
1.0411835,2.7126465,6.978195, 
0.24153137,3.1436005,8.28064, 
-0.5485687,4.106064,7.653366, 
-0.050567627,4.857849,9.003693, 
-0.5198364,4.8865814,10.047562, 
-0.39533997,4.106064,12.087418, 
0.595871,2.3247833,12.714706, 
1.1656799,1.5873718,9.286209, 
0.030838013,1.8459473,7.864044, 
-0.41448975,2.6887054,5.0532684, 
-0.25169373,2.727005,6.403595, 
-0.07450867,3.205841,8.783432, 
0.17448425,4.288025,8.22319, 
0.09307861,4.6232147,9.492111, 
-0.6251831,4.6615143,10.478516, 
-1.9659271,3.7086334,11.388321, 
-1.7504578,2.1476135,11.177628, 
-0.9029083,1.572998,10.057144, 
0.5479889,2.224228,7.6006927, 
1.0316162,2.8419342,5.6853333, 
0.5048828,2.7892456,7.0308685, 
-0.419281,3.3925934,7.993332, 
-0.57250977,4.6567383,7.78743, 
-0.06971741,4.9536133,9.472961, 
-0.5485687,5.015869,10.1577, 
0.5814972,3.4931488,12.211929, 
1.0890808,2.3247833,10.349228, 
-0.064941406,1.7932587,9.678864, 
-0.48153687,2.3343506,6.5089264, 
-0.16070557,2.727005,5.766739, 
0.011672974,3.066986,7.5719604, 
0.006881714,3.8666534,8.615829, 
0.19364929,4.651947,8.716385, 
-0.25169373,4.9152985,9.156921, 
-1.2285156,4.905731,9.947006, 
-1.9467773,4.0677643,10.4066925, 
-1.2955627,2.3582916,11.412262, 
-1.2428894,1.9225464,8.687653, 
-0.064941406,2.3678741,7.6629333, 
0.88316345,3.1819,6.116287, 
0.6820526,3.3686523,7.332535, 
-0.17028809,3.6463776,7.677307, 
-0.74967957,4.5992737,7.6006927, 
-0.07929993,5.102051,9.13298, 
-0.09844971,5.145157,9.98053, 
0.6964264,3.995926,11.785751, 
0.99809265,2.4923706,11.033966, 
0.63417053,1.7789001,9.065933, 
-0.4815216,2.248169,7.107483, 
-0.27563477,2.8802338,6.1258698, 
-0.21817017,3.0909271,7.241562, 
-0.041000366,3.7996063,8.572739, 
0.21759033,4.5561676,8.093887, 
0.169693,4.5801086,9.319733, 
-0.8454437,4.8865814,10.382751, 
-1.9803009,3.6415863,11.982086, 
-1.5014648,2.2146454,10.1098175, 
-0.9651642,1.8171997,9.875183, 
0.2702484,2.5258942,6.863266, 
1.0555573,3.0909271,6.2359924, 
0.8592377,3.066986,7.27507, 
-0.3330841,3.6607513,7.763489, 
-0.41448975,4.7525024,7.878418, 
-0.26605225,5.2121887,8.941437, 
-0.031417847,5.197815,9.8177185, 
0.758667,3.5984955,12.226288, 
1.2949677,2.3918152,10.579071, 
1.0603485,1.7501678,9.353241, 
-0.012268066,2.4923706,6.9829865, 
-0.33787537,3.1292267,5.4937897, 
-0.127182,3.1962738,7.45224, 
0.2942047,3.7373505,9.13298, 
0.5048828,4.7572937,7.9550323, 
0.11224365,4.766861,9.3628235
