x,y,z,
-0.14634705,2.592926,9.48732,
0.14575195,2.0374756,10.722733, 
0.29418945,0.92655945,10.880753, 
0.21759033,0.07423401,12.676407, 
-0.26605225,-0.4093933,10.51683, 
0.8544464,-0.2753296,10.799347, 
0.23674011,0.10774231,8.208817, 
0.70599365,0.031143188,9.391556, 
0.12181091,0.72065735,8.022064, 
0.054779053,1.3192139,8.175293, 
0.021255493,1.9417114,7.495346, 
-0.419281,2.296051,8.146576, 
-0.32829285,2.0614166,8.812149, 
-0.6443329,1.5921478,9.923065, 
-1.7839813,1.074997,11.670822, 
-2.3873138,-1.0366821,13.222275, 
-0.8167114,-2.190689,12.772156, 
-2.9188232,-1.1851196,8.99411, 
-3.1103668,-0.37109375,8.433868, 
-1.8893127,-0.07901001,7.519287, 
-2.5549011,1.2282257,6.9159546, 
-4.0967712,2.0566406,8.0507965, 
-2.3633728,1.391037,7.9789734, 
-1.3913269,1.1947174,9.496902, 
1.1944122,-0.52911377,11.460144, 
1.0364075,-0.2609558,13.452118, 
-0.38098145,-0.7733154,14.251785, 
-0.72094727,-0.4955902,9.563934, 
-1.3290863,-0.73501587,8.615829, 
-1.1279602,-0.18434143,8.611038, 
-0.7544708,0.87867737,6.0540314, 
-0.74967957,0.95529175,7.5097046, 
-1.3913269,0.9169922,8.510483, 
-1.8079224,0.5674286,9.233536, 
-2.7129211,-0.28012085,9.60704, 
-2.7895355,-0.81163025,9.784195, 
-4.178177,-1.8938141,12.221497, 
-3.1438751,-2.683899,14.2374115, 
-3.1486664,-0.94091797,8.457809, 
-3.4072418,-0.15560913,7.2990265, 
-0.71136475,-0.6009369,7.562378, 
-1.5206146,0.7254486,7.9358826, 
-0.85502625,0.47166443,7.9358673, 
-2.411255,1.0031738,9.48732, 
-2.0952148,0.7972717,10.87117, 
-0.79756165,0.07423401,11.04834, 
-2.8709412,-0.7589569,13.121719, 
-2.0617065,-1.4053802,13.643646, 
-1.6067963,-0.88345337,8.462601, 
-2.6794128,0.15562439,9.08989, 
