x,y,z, 
-0.10803223,3.6415863,8.548798, 
-0.4671631,3.7756653,8.673294, 
-0.16070557,3.8522797,9.128189, 
-0.13676453,3.9480438,8.275864, 
-0.2995758,3.8091888,8.927078, 
0.07392883,3.904953,8.582321, 
-0.017059326,3.9193115,8.467392, 
-0.2421112,3.8139648,8.285431, 
-0.4767456,3.6942596,7.864044, 
-0.53419495,3.6894836,8.338104, 
-0.2133789,4.355057,7.9119415, 
-0.41448975,4.6663055,8.544006, 
-0.9891052,4.3406982,8.936661, 
-1.1614838,4.359848,8.81694, 
-0.6443329,4.7094116,8.227966, 
-0.65870667,4.5705414,8.462601, 
-0.71136475,4.5034943,8.649353, 
-0.76882935,4.8003845,8.160934, 
-0.29478455,5.0781097,7.9263, 
-0.069732666,5.0014954,7.7156067, 
-0.11282349,4.829117,8.093887, 
0.1984253,4.747711,9.137772, 
0.6246033,4.220978,10.119385, 
0.8879547,3.3064117,10.296555, 
1.0028839,3.406952,8.175293, 
1.2039948,3.478775,7.404358, 
0.016464233,3.5458221,6.954254, 
0.12660217,4.0485992,6.949463, 
0.36123657,4.0533905,8.24234, 
0.040405273,4.3071747,7.466614, 
0.040405273,4.7955933,7.490555, 
-0.25169373,4.5944824,9.48732, 
-1.0178375,5.1164093,9.104248, 
-0.3330841,4.062973,11.450562, 
-0.5198364,3.3447113,9.463379, 
0.08351135,3.473999,8.318954, 
0.3420868,3.2345734,7.840103, 
-0.23731995,3.2824554,7.4426727, 
-0.064941406,3.928894,7.3277435, 
0.08351135,4.3071747,7.8209534, 
-0.041000366,4.446045,8.093887, 
0.5671387,4.4364624,9.741104, 
0.38038635,4.790802,8.802582, 
0.88316345,4.426895,9.927856, 
0.30377197,3.1866913,10.243881, 
0.5623474,3.5554047,7.624634, 
0.3708191,3.3878021,7.8975677, 
-0.036209106,3.636795,7.179306, 
-0.07450867,4.0055084,7.466614, 
-0.021835327,4.359848,7.835327, 
-0.6874237,4.74292,8.256699, 
-0.94599915,4.695038,9.889542, 
-1.123169,5.0733185,9.741104, 
-0.88375854,3.6894836,12.029968, 
-0.7832031,2.9185486,8.539215, 
0.27026367,3.3686523,7.916733, 
0.87838745,3.110077,8.165726, 
0.16491699,3.1627502,7.040451, 
0.021255493,3.6894684,6.360489, 
0.23674011,4.374222,7.399582, 
0.23674011,4.809952,8.041229, 
0.040405273,4.853058,9.630966, 
-0.32351685,4.771652,9.13298, 
0.10745239,3.746933,10.435425, 
0.12660217,3.4883575,9.372406, 
0.2846222,3.83313,7.581543, 
0.23194885,3.6032867,8.716385, 
0.0068969727,3.6703186,7.7730713, 
0.35165405,3.8522797,7.653351, 
-0.10324097,4.024658,7.5480194, 
-1.0226135,4.062973,8.409927, 
-0.6156006,4.4556274,9.267059, 
-0.44322205,5.106842,9.496902, 
-0.20858765,3.4165344,12.068268, 
-1.0513458,2.8036194,8.989334, 
0.30377197,3.4835815,7.1888885, 
0.5767212,3.244156,8.362045, 
0.12660217,3.49794,6.85849, 
-0.055358887,4.082123,7.0260773, 
0.06436157,4.699829,7.7491302, 
-0.40013123,4.924881,9.037216, 
-0.83587646,4.9536133,9.741104, 
-0.6060333,4.5561676,9.128189, 
-0.74967957,2.8802338,11.311707, 
-0.70658875,3.0382538,7.9598236, 
0.18406677,3.5745544,7.6389923, 
-0.1846466,3.2202148,8.433868, 
-0.2995758,3.584137,6.7531433, 
0.07392883,3.770874,7.3995667, 
0.1984253,4.2545013,7.586319, 
-0.66348267,4.853058,8.017288, 
-0.6826477,4.814743,10.243881, 
-1.3434448,4.6806793,11.01004, 
-1.6307526,3.071762,12.403458, 
-0.94599915,2.908966,7.998123, 
-0.20858765,3.0717773,7.969391, 
0.4043274,2.8898163,8.108261, 
0.13139343,3.244156,6.3509216, 
0.40911865,3.8474884,6.4371033, 
0.11701965,4.2305603,7.3038025, 
-0.122406006,4.56575,7.8927765, 
-0.2899933,4.8674164,9.204803, 
0.021255493,5.260071,9.554367, 
0.38996887,3.5266724,13.212692, 
0.12660217,2.6839142,9.381973, 
0.9310608,3.5697632,7.136215, 
0.322937,3.0765533,8.725967, 
-0.261261,3.5122986,7.227188, 
-0.098464966,3.9720001,7.792221, 
0.24151611,4.244934,7.519287, 
-0.3809662,4.359848,8.486542, 
-0.5102539,4.40773,9.856033, 
-0.31393433,4.7285614,9.051575, 
-0.4049225,4.1012726,10.866379, 
-0.8933258,2.8802338,9.745895, 
-0.35702515,3.2297974,7.5480194, 
-0.34266663,2.9903717,8.208817, 
-0.2708435,3.1819,7.3469086, 
-0.50068665,3.7277832,6.7148285, 
-0.4958954,4.2832336,7.3469086, 
-0.67785645,4.6232147,8.237549, 
-0.52941895,4.604065,9.243118, 
-0.6108246,4.4604034,8.898346, 
0.3755951,3.2824554,10.761032, 
-0.25646973,2.454071,11.053131, 
0.169693,3.33992,7.1170654, 
0.84965515,3.268097,8.6397705, 
-0.045791626,2.727005,9.223953, 
-0.021850586,3.0765533,7.7299805, 
0.48094177,3.4165344,8.036438, 
-0.036209106,3.5697632,7.6629333, 
-0.093673706,3.6607513,8.548798, 
0.38038635,3.5697632,11.077072, 
-0.29478455,3.225006,10.828079, 
-0.07450867,1.7310181,12.111374, 
-0.38098145,1.5873566,9.022842, 
0.5336151,1.9129791,8.0507965, 
-0.13676453,1.5299072,9.750687, 
-0.6443329,1.9177551,8.9318695, 
-0.7592621,2.5785675,7.950241, 
-0.6682739,3.1148682,8.4817505, 
-1.0848694,3.4117432,8.539215, 
-1.0369873,3.4835663,8.922287, 
-0.71617126,3.205841,9.8177185, 
-0.017059326,2.813202,9.64534, 
-0.19422913,1.9512787,11.024399, 
-0.16549683,2.7365875,7.78743, 
-0.16549683,2.8227692,8.390778, 
-0.48631287,2.592926,9.44902, 
-0.65870667,2.9137573,7.964615, 
-0.17028809,3.3925934,7.998123, 
-0.7736206,3.5984955,8.180084, 
-0.9603729,3.857071,8.630203, 
-0.6395416,3.7756653,10.344452, 
-0.23731995,3.5745544,9.669281, 
0.049987793,2.319992,11.36438, 
-0.7736206,1.5921478,9.597458, 
0.5336151,2.0997162,8.812149, 
0.5767212,1.7741089,9.46817, 
0.17927551,2.0422668,8.390778, 
-0.16070557,2.6120758,7.476181, 
-0.036209106,3.2633057,8.472183, 
-0.2708435,3.5697632,8.548798, 
-0.8310852,3.584137,8.654144, 
-0.28041077,3.3686523,9.731537, 
-0.65870667,2.8227692,9.769836, 
0.24630737,1.6974945,11.469727, 
-1.1136017,1.3814545,10.550339, 
0.2654724,2.319992,8.500916, 
0.5048828,2.2098541,9.420273, 
-0.4049225,1.7549591,9.037216, 
-0.577301,1.5538483,9.065933, 
-0.45758057,1.663971,8.7738495, 
-0.27563477,1.6496124,9.688431, 
-0.71617126,1.8363647,9.305359, 
-0.017059326,2.2098541,9.750687, 
0.021255493,2.3295593,9.3628235, 
-0.3474579,2.3774414,8.826523, 
-0.4958954,2.4205475,9.616608, 
-0.2421112,2.5977173,9.137772, 
-0.55815125,2.636032,8.907928, 
-0.17985535,2.8323517,9.429855, 
-0.3474579,2.8036194,9.434647, 
-0.72094727,2.7700958,9.0659485, 
-0.6395416,2.7844696,9.056366, 
-0.6539154,2.7653046,9.223953, 
-0.62039185,2.8754425,8.807373, 
-0.76882935,2.8754425,9.113831, 
-0.62039185,2.9424896,9.027634, 
-0.55815125,2.9424744,8.936661, 
-0.74967957,2.9137573,9.046783, 
-0.8406677,2.7844696,8.615829, 
-0.61561584,2.6934967,8.778641, 
-0.57250977,2.727005,9.233536, 
-0.49110413,2.8754425,9.319733, 
-0.5198364,2.8802338,9.118622, 
-0.37139893,2.8467102,9.08989, 
-0.3905487,2.813202,9.343674, 
-0.30914307,2.8084106,9.156921, 
-0.38575745,2.7653198,9.15213, 
-0.40971375,2.7413788,9.099457, 
-0.5054779,2.7317963,9.161713, 
-0.4815216,2.7317963,9.104248, 
-0.5389862,2.750946,9.204803, 
-0.4958954,2.7605286,8.951019, 
-0.5198364,2.774887,8.936661, 
-0.47195435,2.7796783,9.046783, 
-0.55336,2.7796783,9.338882, 
-0.51504517,2.8562927,9.180862, 
-0.48153687,2.8467102,9.032425, 
-0.5677185,2.8275604,9.094666, 
-0.40490723,2.8323517,9.056366, 
-0.38575745,2.8419342,9.046783, 
-0.43363953,2.774887,9.003693, 
-0.4096985,2.7605286,9.013275, 
-0.45280457,2.8179932,8.874405, 
-0.5054779,2.8515015,9.252686, 
-0.30914307,2.908966,9.17128, 
-0.32351685,2.8419342,9.142548, 
-0.6251831,2.7461548,9.353241, 
-0.42886353,2.8467102,9.027634, 
-0.3761902,2.8227692,9.31015, 
-0.39533997,2.841919,9.085098, 
-0.4671631,2.750946,8.955811, 
-0.5246277,2.727005,8.951019, 
-0.4527893,2.7940521,9.008484, 
-0.41448975,2.8275604,9.08989, 
-0.4096985,2.8275604,9.128189, 
-0.4767456,2.8227692,9.147339, 
-0.49110413,2.8275604,9.104248, 
-0.5102539,2.8323517,9.008484, 
-0.4480133,2.8754425,9.372406, 
-0.41448975,2.9041748,9.027634, 
-0.49110413,2.8562927,9.094666, 
-0.60124207,2.8419342,9.0659485, 
-0.5820923,2.8802338,8.951019, 
-0.62039185,2.8754425,9.003693, 
-0.5389862,2.885025,8.778641, 
-0.55336,2.932907,9.176071, 
-0.60124207,2.9424896,9.056366, 
-0.5964508,2.975998,9.0707245, 
-0.53419495,2.9855804,9.13298, 
-0.5964508,2.8945923,8.936661, 
-0.64912415,2.9041748,8.797791, 
-0.64912415,2.9664307,9.104248, 
-0.59165955,3.019104,9.003693, 
-0.69221497,2.9137573,9.267044, 
-0.60124207,2.952057,8.898346, 
-0.6156006,2.9472656,8.998901, 
-0.5389862,2.9855804,9.01326, 
-0.5485687,2.975998,8.941452, 
-0.5677185,2.9999542,9.037201, 
-0.64912415,3.0047302,9.109039, 
-0.60124207,2.995163,8.965393, 
-0.57250977,2.9424896,8.898346, 
-0.47195435,3.0430298,8.936661, 
-0.51504517,3.047821,9.118607, 
-0.46237183,3.1196442,9.147339, 
-0.45280457,3.0957184,8.989334, 
-0.48632812,3.0526123,8.917511, 
-0.55336,3.0143127,8.951019, 
-0.577301,3.0143127,8.989334, 
-0.5198364,3.0334625,8.888763, 
-0.4767456,3.047821,8.922287, 
-0.49110413,3.0861359,9.061157, 
-0.4480133,3.1148682,9.099457, 
-0.42884827,3.134018,8.855255, 
-0.4480133,3.1148682,8.927078, 
-0.48631287,3.1196594,9.056366, 
-0.49110413,3.153183,8.802582, 
-0.5198364,3.110077,8.979752, 
-0.46237183,3.177124,8.917511, 
-0.4671631,3.1914825,8.917496, 
-0.46237183,3.2202148,8.874405, 
-0.5054779,3.1866913,8.946228, 
-0.5485687,3.1962585,8.802582, 
-0.53419495,3.2202148,8.912704, 
-0.6156006,3.2202148,9.032425, 
-0.5868683,3.2393646,8.960602, 
-0.48153687,3.2728882,8.879196, 
-0.45758057,3.2489471,8.979752, 
-0.5054779,3.1483917,8.922287, 
-0.5389862,3.0813446,8.989334, 
-0.22296143,3.1723175,8.831314, 
-0.34266663,3.2106323,8.558365, 
-0.72094727,3.1914825,8.812149, 
-0.5389862,3.244156,9.34845, 
-0.3330841,3.2872467,8.792999, 
-0.49110413,3.2106323,8.558365, 
-0.62997437,3.1866913,8.831314, 
-0.5677185,3.2633057,8.955811, 
-0.6156006,3.205841,9.200012, 
-0.5964508,3.177124,8.903137, 
-0.59165955,3.110077,9.271835, 
-0.6443329,3.1004944,8.81694, 
-0.79278564,3.0813446,8.792999, 
-0.6682739,3.0861359,8.792999, 
-0.7448883,3.0095215,9.286209, 
-0.5820923,3.0047302,9.037216, 
-0.6682739,3.0095215,8.984543, 
-0.6156006,3.0382538,8.989334, 
-0.51504517,3.0717773,9.013275, 
-0.51504517,3.0526123,8.917496, 
-0.51504517,3.0526123,8.869614, 
-0.69221497,3.0143127,9.113831, 
-0.5246277,3.1004944,8.9318695, 
-0.6539154,3.0813446,9.065933, 
-0.6874237,3.047821,9.075516, 
-0.65870667,3.0574036,8.91272, 
-0.5868683,3.1148682,8.826523, 
-0.7448883,3.0813446,9.109039, 
-0.6395569,3.0957184,8.960602,
