x,y,z, 
0.3468628,1.9608612,8.941437, 
0.2942047,1.9608612,10.2438965, 
0.23674011,1.869873,10.090652, 
0.3851776,1.841156,9.496902, 
0.48094177,1.821991,9.180862, 
0.33729553,1.8076324,9.295776, 
0.45700073,1.9081879,9.568726, 
0.595871,2.051834,9.434647, 
0.45700073,2.0231018,9.549576, 
0.51446533,2.1045074,9.46817, 
0.2271576,1.9895935,9.420288, 
0.2271576,2.094925,8.673294, 
0.18406677,2.4253387,9.075516, 
0.006881714,2.8562927,8.898346, 
0.040405273,2.9903717,9.257477, 
-0.32829285,2.885025,9.24791, 
-0.60124207,3.1388092,8.788208, 
-0.41448975,3.3590698,9.13298, 
-0.4049225,3.2585144,9.295792, 
-0.49110413,3.1196594,8.840881, 
-0.40013123,3.0621948,8.721176, 
0.054779053,3.0717773,9.338882, 
0.98851013,2.861084,11.02919, 
0.4139099,1.6017303,13.389862, 
0.2558899,1.3240051,10.272629, 
1.2662354,1.6304626,8.017288, 
1.1082306,1.5107422,7.9598236, 
0.17927551,1.6687622,7.2798615, 
0.8304901,2.4205475,7.409149, 
1.0124512,2.6599731,7.8496857, 
0.42349243,2.7413635,8.989334, 
-0.12719727,2.8658752,9.458588, 
-1.032196,2.7078552,10.488098, 
-0.9938812,2.6839142,10.741882, 
-1.6977844,0.89782715,12.27417, 
-0.9316406,1.5969391,8.366837, 
-0.9795227,1.3192139,9.415497, 
-0.55336,1.1516266,9.200027, 
-0.92684937,1.5634155,7.9789734, 
-0.7305298,1.9512787,8.453033, 
-0.3283081,2.5546265,8.711594, 
0.10266113,3.043045,8.769058, 
0.21279907,3.0095215,10.51683, 
-0.8406677,2.8323517,10.296555, 
0.059570312,1.0893707,13.337204, 
-1.2955627,0.2705536,9.990097, 
0.9358368,2.1045074,6.4802094, 
0.002090454,1.7932587,8.28064, 
-0.3905487,1.6256714,9.429855, 
0.33250427,2.2673187,8.352463, 
0.5527649,2.4828033,8.117828, 
0.07872009,2.6647644,8.227966, 
-0.2899933,2.8227692,9.137772, 
0.11701965,2.8993835,11.551117, 
-0.25167847,2.7317963,11.450562, 
-0.8598175,1.683136,11.230301, 
-0.32351685,1.9991608,8.81694, 
0.12660217,1.9081879,8.443451, 
-0.2756195,2.027893,8.06517, 
0.13618469,2.8802338,7.1649475, 
0.5479889,3.5027313,7.9598083, 
-0.09365845,3.81398,8.117844, 
-0.6682739,3.722992,9.185654, 
-0.79756165,3.248932,10.861588, 
0.054779053,2.837143,9.942215, 
-0.73532104,1.2090759,11.215927, 
-0.8645935,1.6639862,8.59668, 
0.48573303,2.406189,8.113052, 
0.1409607,2.2050629,9.027634, 
-0.17985535,2.1571808,8.38121, 
0.99809265,2.5594177,8.395569, 
1.1417389,3.0286713,8.362045, 
0.9454193,3.5697632,8.611038, 
0.86880493,3.3303375,10.938202, 
0.2654724,3.2633057,10.368393, 
0.67248535,2.3678741,11.139313, 
0.049987793,1.7358093,8.893555, 
0.5623474,2.0326843,9.037216, 
0.9933014,1.8986053,9.056366, 
0.48094177,2.3056183,7.706024, 
0.6485443,2.7605286,7.5480194, 
0.6246033,2.9616394,8.409927, 
0.22236633,3.1531677,9.104248, 
0.60066223,3.2537384,10.105026, 
1.1465302,3.1436005,10.770615, 
1.6445312,2.3391418,10.7323, 
0.35165405,0.96487427,10.622177, 
0.46658325,1.5634155,8.079529, 
1.1082306,2.027893,8.376404, 
0.58628845,2.27211,8.151352, 
0.72036743,2.640808,7.0979004, 
0.77783203,2.7557373,8.266281, 
0.5671387,2.8515015,9.812927, 
0.60066223,3.0382538,10.559921, 
0.76345825,3.1771088,10.71315, 
1.0028839,2.5067444,11.450562, 
0.040405273,0.92178345,11.326065, 
0.4761505,1.3958282,8.227966, 
0.9885254,1.6544037,8.381195, 
0.5336151,1.683136,8.453033, 
0.13139343,2.3774567,6.724411, 
0.059570312,2.885025,8.165726, 
-0.017059326,3.4596252,8.855255, 
0.31814575,3.502716,10.143326, 
0.2989807,3.0190887,10.655685, 
1.0603485,2.2433777,9.836868, 
1.0603485,1.0127563,12.43219, 
1.2279358,1.9417114,7.648575, 
1.4721375,2.0326843,9.338882, 
0.70599365,1.9608612,8.883972, 
0.6676941,2.3056335,7.8448944, 
0.76345825,2.4157562,8.170502, 
-0.021850586,2.6072998,8.97496, 
0.2271576,3.1244354,9.693222, 
0.2702484,3.3782196,10.425842, 
0.006881714,3.1244354,9.654907, 
-0.3905487,1.3192139,12.269379, 
-0.3043518,1.5873718,8.371628, 
0.93104553,2.051834,7.998123, 
0.7969818,1.8220062,8.951019, 
0.049987793,2.2433777,7.1888885, 
0.06913757,2.6647644,7.6389923, 
0.054779053,2.9807892,8.663712, 
0.43785095,3.3111877,9.717163, 
0.8065491,3.426117,11.086639, 
0.7012024,3.2824554,10.784973, 
0.3420868,2.0087433,11.962921, 
0.19364929,2.003952,8.702026, 
0.92626953,2.3056335,7.744339, 
1.1034393,2.0135345,8.864822, 
0.7155762,2.138031,7.634201, 
